[21:59:36] [INFO] Memory guard started — watching PID 512588, min_avail=1.5 GB, interval=10.0s
[23:47:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.89 GB | swap=5.0 GB
[23:48:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.90 GB | swap=5.0 GB
[23:49:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.90 GB | swap=5.0 GB
[23:50:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.90 GB | swap=5.0 GB
[23:51:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.83 GB | swap=5.0 GB
[23:52:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.02 GB | swap=5.0 GB
[23:53:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.16 GB | swap=5.0 GB
[23:54:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.00 GB | swap=5.0 GB
[23:55:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.85 GB | swap=5.0 GB
[23:56:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.77 GB | swap=5.0 GB
[23:57:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.86 GB | swap=5.0 GB
[23:58:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.59 GB | swap=5.0 GB
[23:59:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.06 GB | swap=4.9 GB
[00:00:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.12 GB | swap=4.9 GB
[00:01:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:02:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.11 GB | swap=4.9 GB
[00:03:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:04:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:05:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.11 GB | swap=4.9 GB
[00:06:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.15 GB | swap=4.9 GB
[00:07:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:08:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.15 GB | swap=4.9 GB
[00:09:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.11 GB | swap=4.9 GB
[00:10:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.16 GB | swap=4.9 GB
[00:11:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.13 GB | swap=4.9 GB
[00:12:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.81 GB | swap=4.9 GB
[00:13:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.84 GB | swap=4.9 GB
[00:14:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.81 GB | swap=4.9 GB
[00:15:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.10 GB | swap=4.9 GB
[00:16:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.07 GB | swap=4.9 GB
[00:17:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.05 GB | swap=4.9 GB
[00:18:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:19:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.07 GB | swap=4.9 GB
[00:20:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.04 GB | swap=4.9 GB
[00:21:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.04 GB | swap=4.9 GB
[00:22:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.13 GB | swap=4.9 GB
[00:23:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.08 GB | swap=4.9 GB
[00:24:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.15 GB | swap=4.9 GB
[00:25:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.10 GB | swap=4.9 GB
[00:26:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.05 GB | swap=4.9 GB
[00:27:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.12 GB | swap=4.9 GB
[00:28:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.11 GB | swap=4.9 GB
[00:29:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.15 GB | swap=4.9 GB
[00:30:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.18 GB | swap=4.9 GB
[00:31:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.17 GB | swap=4.9 GB
[00:32:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.13 GB | swap=4.9 GB
[00:33:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.16 GB | swap=4.9 GB
[00:34:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:35:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.05 GB | swap=4.9 GB
[00:36:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.07 GB | swap=4.9 GB
[00:37:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.08 GB | swap=4.9 GB
[00:38:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.06 GB | swap=4.9 GB
[00:39:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.04 GB | swap=4.9 GB
[00:40:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.03 GB | swap=4.9 GB
[00:41:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.87 GB | swap=4.9 GB
[00:42:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.94 GB | swap=4.9 GB
[00:43:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.11 GB | swap=4.9 GB
[00:44:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:45:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.94 GB | swap=4.9 GB
[00:46:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.86 GB | swap=4.9 GB
[00:47:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.92 GB | swap=4.9 GB
[00:48:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.95 GB | swap=4.9 GB
[00:49:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.09 GB | swap=4.9 GB
[00:50:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.83 GB | swap=4.9 GB
[00:51:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.77 GB | swap=4.9 GB
[00:52:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.77 GB | swap=4.9 GB
[00:53:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.13 GB | swap=4.9 GB
[00:54:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.16 GB | swap=4.9 GB
[00:55:37] [INFO] RAM: 22.6/30.8 GB used | avail=8.14 GB | swap=4.9 GB
[00:56:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.02 GB | swap=4.9 GB
[00:57:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.89 GB | swap=4.9 GB
[00:58:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.86 GB | swap=4.9 GB
[00:59:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.06 GB | swap=4.9 GB
[01:00:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.76 GB | swap=4.9 GB
[01:01:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.06 GB | swap=4.9 GB
[01:02:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.08 GB | swap=4.9 GB
[01:03:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.90 GB | swap=4.9 GB
[01:04:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.81 GB | swap=4.9 GB
[01:05:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.74 GB | swap=4.9 GB
[01:06:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.78 GB | swap=4.9 GB
[01:07:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.76 GB | swap=4.9 GB
[01:08:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.81 GB | swap=4.9 GB
[01:09:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.78 GB | swap=4.9 GB
[01:10:37] [INFO] RAM: 23.1/30.8 GB used | avail=7.69 GB | swap=4.8 GB
[01:11:37] [INFO] RAM: 23.1/30.8 GB used | avail=7.64 GB | swap=4.8 GB
[01:12:37] [INFO] RAM: 23.1/30.8 GB used | avail=7.70 GB | swap=4.8 GB
[01:13:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.61 GB | swap=4.8 GB
[01:14:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.60 GB | swap=4.8 GB
[01:15:37] [INFO] RAM: 23.3/30.8 GB used | avail=7.52 GB | swap=4.8 GB
[01:16:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.55 GB | swap=4.8 GB
[01:17:37] [INFO] RAM: 23.3/30.8 GB used | avail=7.52 GB | swap=4.8 GB
[01:18:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.89 GB | swap=4.8 GB
[01:19:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.86 GB | swap=4.8 GB
[01:20:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.79 GB | swap=4.8 GB
[01:21:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.62 GB | swap=4.8 GB
[01:22:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.84 GB | swap=4.8 GB
[01:23:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.76 GB | swap=4.8 GB
[01:24:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.56 GB | swap=4.8 GB
[01:25:37] [INFO] RAM: 23.1/30.8 GB used | avail=7.72 GB | swap=4.8 GB
[01:26:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.77 GB | swap=4.8 GB
[01:27:37] [INFO] RAM: 23.6/30.8 GB used | avail=7.22 GB | swap=4.8 GB
[01:28:37] [INFO] RAM: 23.6/30.8 GB used | avail=7.18 GB | swap=4.8 GB
[01:29:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.81 GB | swap=4.8 GB
[01:30:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.97 GB | swap=4.8 GB
[01:31:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.85 GB | swap=4.8 GB
[01:32:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.93 GB | swap=4.8 GB
[01:33:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.93 GB | swap=4.8 GB
[01:34:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.89 GB | swap=4.8 GB
[01:35:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.96 GB | swap=4.8 GB
[01:36:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.95 GB | swap=4.8 GB
[01:37:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.88 GB | swap=4.8 GB
[01:38:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.92 GB | swap=4.8 GB
[01:39:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.91 GB | swap=4.8 GB
[01:40:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.92 GB | swap=4.8 GB
[01:41:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.90 GB | swap=4.8 GB
[01:42:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.95 GB | swap=4.8 GB
[01:43:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.00 GB | swap=4.8 GB
[01:44:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.96 GB | swap=4.8 GB
[01:45:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.92 GB | swap=4.8 GB
[01:46:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.92 GB | swap=4.8 GB
[01:47:37] [INFO] RAM: 22.9/30.8 GB used | avail=7.87 GB | swap=4.8 GB
[01:48:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.05 GB | swap=4.8 GB
[01:49:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.04 GB | swap=4.8 GB
[01:50:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.97 GB | swap=4.8 GB
[01:51:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.01 GB | swap=4.8 GB
[01:52:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.06 GB | swap=4.8 GB
[01:53:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.97 GB | swap=4.8 GB
[01:54:37] [INFO] RAM: 22.7/30.8 GB used | avail=8.03 GB | swap=4.8 GB
[01:55:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.99 GB | swap=4.8 GB
[01:56:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.01 GB | swap=4.8 GB
[01:57:37] [INFO] RAM: 22.8/30.8 GB used | avail=8.01 GB | swap=4.7 GB
[01:58:37] [INFO] RAM: 22.8/30.8 GB used | avail=7.99 GB | swap=4.7 GB
